Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
Art8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pis,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.413594082,0.578600636,-0.05051736,0.38603836
kuk,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.918087772,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TBPH,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-1.276624927,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GV1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ance-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
gw,#VALUE!,#VALUE!,#VALUE!,-0.359101479,#VALUE!,#VALUE!,-1.356901135,-1.346811545,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG43154,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,0.146264195,-1.153189797,-1.140571067,#VALUE!,#VALUE!,#VALUE!,0.336283388,#VALUE!,-1.173547102,0.112366523,0.458382004
,-0.266437406,-0.55579942,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.797764096,-1.477582618,#VALUE!,#VALUE!,#VALUE!,-1.211531441
CG17159,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.112162829,#VALUE!,#VALUE!,-0.543908806
,-1.537382235,#VALUE!,-1.054841805,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.134540388,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(2)09851,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mRpS5,-1.699466228,-2.056911346,-1.184391783,#VALUE!,#VALUE!,#VALUE!,-2.087304154,-1.566442266,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,0.462994607,#VALUE!,#VALUE!,#VALUE!,-0.409316549,#VALUE!,#VALUE!,0.240131118,#VALUE!
CG17683,#VALUE!,#VALUE!,-1.16197605,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-0.283281214,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.001730196
,-1.203701281,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.17156339,-1.340404194,#VALUE!,#VALUE!,#VALUE!,-0.699887993
Spn43Ad,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG7117,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Golgin84,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dim1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
NT5E-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
rumi,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.618295787,#VALUE!,#VALUE!,#VALUE!,0.39791246
CG14722,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tsp,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,-0.764052418,#VALUE!,0.091530593,-1.821380957,#VALUE!,-0.904251076,0.290424404,0.339593501,0.260748328,#VALUE!,#VALUE!
CenB1A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Idgf5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.708820826,-1.17078366,#VALUE!,#VALUE!,-0.44789841,-1.075611224
hpo,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BEST:CK00246,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
obst-E,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
beg,-0.405241272,-0.195103876,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.112131643,-0.588942611,#VALUE!,#VALUE!
mRpL47,-0.482996492,-1.363939228,#VALUE!,0.819177666,#VALUE!,#VALUE!,-0.6347106,-0.851495352,#VALUE!,#VALUE!,1.372562128,0.921969435
scpr-B;scpr-C;scpr-A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ena,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BEST:CK02213,-0.447229476,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
boca,-0.503609237,-0.11323917,0.105678078,0.021763974,#VALUE!,#VALUE!,-0.270260175,-0.619824688,0.322158908,0.596935142,0.103665483,0.01592569
fdl,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
bonsai,-1.75097949,-0.746204316,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.48681248,0.12551886,-0.472008876,#VALUE!,#VALUE!,#VALUE!
BEAF-32,#VALUE!,-1.169420147,-0.939537512,#VALUE!,#VALUE!,#VALUE!,-0.701763998,#VALUE!,#VALUE!,-0.894107411,-0.870413637,#VALUE!
mtacp1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Rel,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
S6k,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
U2af38,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Rga,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dref,0.620961697,#VALUE!,-0.747172616,0.340391357,#VALUE!,#VALUE!,-1.304469349,-0.320630253,-0.19450942,-0.593615716,#VALUE!,#VALUE!
Nrx-IV,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
jeb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mats,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG11412,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tom20,-0.2839661,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Git,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-0.385751892,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG10038,-1.50034032,#VALUE!,-1.053194294,-1.145350001,#VALUE!,#VALUE!,-1.001125741,-1.20826093,-0.62071175,-1.393425116,#VALUE!,-1.479633072
pita,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.393766255,-1.480317204,-1.521390532,-1.219841108,-1.710991854,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.402588012,-1.070087836,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Pask,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.102914503,#VALUE!,#VALUE!,#VALUE!
CG30291,0.226261894,0.136453909,0.180402507,0.671021568,#VALUE!,#VALUE!,-0.069270231,0.146915848,0.809908292,1.066674763,0.802730896,0.690014739
CG11955,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG7506,#VALUE!,-0.013217744,0.913952109,0.890485605,#VALUE!,#VALUE!,#VALUE!,0.007051943,1.213005039,1.077858235,#VALUE!,1.873616364
fwe,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Slimp,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG9798,-1.176381059,#VALUE!,#VALUE!,-0.850402441,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.32131508,#VALUE!,#VALUE!
CG4953,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.134983894,0.265436896,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG15187,0.375400929,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.078776966,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mf,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
alpha-Est5,#VALUE!,#VALUE!,-1.001992294,-2.054991672,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.442120759,#VALUE!,-1.817460242,-1.797362874
Rpb7,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mms19,-1.73048803,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.242815884,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG3209-RA,-1.469889294,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.652050466,#VALUE!,#VALUE!
Sap47,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cep135,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-1.302475249,#VALUE!,#VALUE!,0.252657864,#VALUE!,#VALUE!,-0.818248621,-0.694251225,#VALUE!,-0.194179272,#VALUE!,#VALUE!
CycK,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
lgs,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cog3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG11058,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BG:DS00941.11,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.1264443,0.135928816,#VALUE!,#VALUE!
,-2.304219935,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.297679346,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Rala,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.484630679,#VALUE!,#VALUE!
Pax,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
zip,-1.108549704,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.043764881,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Ranbp16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mbo,#VALUE!,0.257372756,0.123931008,-0.163833476,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG4733-RA,-0.047949781,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jupiter,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jupiter,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,-0.594530372,-1.445087039,-1.115222364,-0.682765405,-0.55866526,#VALUE!,-0.858828828,-1.22108497,#VALUE!,-0.455435483,#VALUE!,-0.864622739
CG8223,-0.724539946,-0.877367035,#VALUE!,-0.634934614,-0.65133699,#VALUE!,-1.01196615,-1.312867627,#VALUE!,-0.164690313,#VALUE!,-0.484973892
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mRpL36,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG11505,-2.199520419,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.907494851,-1.922100758,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
chb,-1.603533587,#VALUE!,-0.868041823,-1.289686164,#VALUE!,#VALUE!,#VALUE!,-1.637109357,#VALUE!,#VALUE!,-0.993982103,-0.964573155
trc,-1.435963338,#VALUE!,#VALUE!,-1.031002433,#VALUE!,#VALUE!,-1.004247771,#VALUE!,-1.432805047,#VALUE!,0.008917095,0.171847314
SH3PX1,-1.472689402,#VALUE!,-0.754796435,-1.044806248,#VALUE!,#VALUE!,-0.658856782,-0.894107411,#VALUE!,-0.817612798,#VALUE!,-0.779323345
Tre1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ligatin,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GNBP3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
san,-1.265552663,#VALUE!,#VALUE!,#VALUE!,0.740107246,#VALUE!,-0.803695123,-0.735355484,-0.218665468,0.594070757,#VALUE!,0.326537348
Adar,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
spt4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
EG:140G11.5,-1.413768486,-1.165207895,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.571870936,#VALUE!,#VALUE!,#VALUE!
Surf1,0.159500022,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BcDNA.LD34475,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.027086823,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
tty,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Peb,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ECSIT,#VALUE!,#VALUE!,#VALUE!,0.079292767,-0.794432322,#VALUE!,-0.771470647,0.562962829,#VALUE!,0.722466024,#VALUE!,-0.178453041
Syt4,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.624977255,#VALUE!,#VALUE!,#VALUE!
csul,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
rdgBbeta,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Vps28,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.357307669,#VALUE!
krz,0.025595836,-0.479371577,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.180397209,-0.669694022,-0.332789088
Catsup,-0.246429692,#VALUE!,#VALUE!,0.662570116,#VALUE!,#VALUE!,-0.136093258,#VALUE!,#VALUE!,#VALUE!,0.430392334,0.285224645
Ero1L,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
c12.1,-0.09767168,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG9063,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
mRpL4,-1.343732465,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.720944784,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Coprox,-0.968012037,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.706723697,-0.774848488,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Srp54k,-1.759307108,-1.631064068,-1.284827059,#VALUE!,#VALUE!,#VALUE!,-1.665752105,-1.994470661,-1.522965164,-1.46789254,#VALUE!,-1.45505967
spag,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
cyp33,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nxt1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nab2,-0.171644636,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
wds,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.870229022,1.508935662,-0.616856999,-0.743230857,#VALUE!,-0.279861652
BG:DS09217.4,-2.505860922,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.182884333,-2.156112607,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cbp20,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
TM9SF4,-1.394372923,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.369967366,-0.505246478,#VALUE!,#VALUE!,#VALUE!,#VALUE!
l(2)35Bc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jafrac2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
GABA-B-R1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Acp36DE,#VALUE!,#VALUE!,-1.926371682,-1.915391425,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-2.099556284,-1.57595938,#VALUE!,#VALUE!
heix,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
SC35,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
dare,#VALUE!,#VALUE!,#VALUE!,-1.08136952,-0.958308436,#VALUE!,-1.17351456,#VALUE!,-1.11703617,-1.137870015,#VALUE!,#VALUE!
CG4500,#VALUE!,#VALUE!,-1.019960072,-1.951763814,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.755314904,1.222557291,-2.117286529,0.336054824
x16,0.109694865,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.356106878,1.149974682,#VALUE!,#VALUE!,#VALUE!
BcDNA.LD23634,-1.144616202,#VALUE!,-0.593746346,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ck,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.955004446,-1.960440443,#VALUE!,#VALUE!,#VALUE!,#VALUE!
crp,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG8801,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Smg5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Met75Ca,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nup154,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Nup107,-0.612350713,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cul-3,-1.909309136,-1.923741925,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.746639971,-0.485680764,-1.277429056,-1.221892374,#VALUE!,#VALUE!
cals,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
CG10323,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
yellow-h,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Hcf,-1.32369648,-1.016103455,-0.783986004,-0.984445341,-0.675304586,#VALUE!,-1.191755004,-1.11303632,#VALUE!,#VALUE!,#VALUE!,-0.88134791
