Gene names, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_1_1, Alpha _day_1_2, Alpha _day_10_1, Alpha _day_10_2, Alpha _day_30_1, Alpha _day_30_2
P5cr,-1.176935471,-1.288205572,-1.534621015,-1.135871317,#VALUE!,-1.09807311,-0.883768339,-1.142990415,-0.909011112,-1.387524824,-1.00453719,-1.452569914
CG18501,#VALUE!,#VALUE!,-0.812156257,-0.579900319,#VALUE!,-1.097424701,#VALUE!,0.219958398,-0.769501836,-0.774453588,-0.552769949,-1.007782653
Naam,-0.69012534,-0.643630786,-1.564691448,-0.998183348,#VALUE!,-1.069603273,-1.023181813,#VALUE!,1.327054969,-0.773442148,0.119289768,-0.601474503
CG10915,-0.673968949,#VALUE!,-0.774626343,0.354564999,#VALUE!,-1.060427367,0.013783815,-1.535122662,-1.028734206,-0.588942611,-0.817409394,-0.940201736
Nup54,-0.344171932,-1.106622256,-1.412116596,-0.629143838,-1.434870801,-1.048561406,-1.268121651,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.113005115
CG3800,-1.496305263,-2.429187367,#VALUE!,-0.686800594,#VALUE!,-1.02148218,0.113567157,#VALUE!,#VALUE!,-0.673945932,#VALUE!,-1.34391556
Pdp,#VALUE!,#VALUE!,-0.582620024,0.011924948,#VALUE!,-0.989334722,#VALUE!,#VALUE!,-0.835651359,#VALUE!,#VALUE!,-0.160298348
CG7441-RA,-0.922018749,#VALUE!,#VALUE!,-0.486145468,-1.067424752,-0.984445341,-0.38669467,-0.324726028,-0.806619335,-0.378982019,#VALUE!,-0.372542575
Hml,-2.415268349,-2.709339688,#VALUE!,-1.787119434,#VALUE!,-0.978463419,-1.617365945,-1.633210603,#VALUE!,-1.087488089,-1.479472146,-1.324346635
U2af50,#VALUE!,-1.048770313,-0.815884776,-0.697850602,#VALUE!,-0.975027922,-1.289615625,-1.535749966,-0.913868447,-0.348886296,-0.359804818,-1.083385781
amon,-0.411310546,#VALUE!,#VALUE!,#VALUE!,-0.149248574,-0.969000117,#VALUE!,-0.478205487,-1.229585326,#VALUE!,#VALUE!,-0.206079154
Sec61alpha,-1.565673352,#VALUE!,#VALUE!,-1.16501378,#VALUE!,-0.949449546,#VALUE!,-2.134983894,#VALUE!,-1.153093542,#VALUE!,-1.319765674
Mulk,-1.546540367,-0.820234192,-0.959851021,-0.897650931,#VALUE!,-0.942889429,-1.807376563,-1.23575577,-1.343329739,-0.988876533,-1.026116925,-1.044240841
CHORD,#VALUE!,#VALUE!,-0.446305282,#VALUE!,#VALUE!,-0.893892932,-2.025088956,-1.665202925,#VALUE!,-0.470708763,#VALUE!,-0.845805675
,#VALUE!,#VALUE!,#VALUE!,-0.80778058,#VALUE!,-0.892258575,-0.17193716,-1.176087633,#VALUE!,#VALUE!,-1.400644116,-1.076219481
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.890144696,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.752850233
,-0.973214102,-0.959093546,-0.607155059,-0.548142706,#VALUE!,-0.880524295,#VALUE!,-0.009335523,-1.026704664,-0.009277441,-1.109701184,-1.020457507
torp4a,-1.706464713,-1.314876152,#VALUE!,#VALUE!,#VALUE!,-0.87313284,-0.986644941,-0.499095993,-0.509162919,-0.426276477,-0.202488911,-0.291415443
rogdi,-0.735908006,#VALUE!,-0.634262677,-0.638546036,#VALUE!,-0.872842195,#VALUE!,#VALUE!,-0.835754351,-0.779595745,-1.066608654,-1.153895868
CG12321-RA,-1.043199882,-1.357122867,-0.503302461,-1.078746493,#VALUE!,-0.868173488,-0.560004602,-1.086905708,-0.466018107,-0.651699584,-0.739709322,-0.41077343
Drs;Drsl5,1.753775664,#VALUE!,-1.044925309,-1.292651913,#VALUE!,-0.865069389,#VALUE!,#VALUE!,#VALUE!,-0.572780028,#VALUE!,-0.948781051
Psi,-1.626736002,-1.47818539,-0.896925411,-1.165984617,#VALUE!,-0.828357611,-1.123999815,-1.435846241,-0.657650068,-0.203800973,-0.904224076,-0.164399255
Myo31DF,-2.744197163,-1.742072144,-1.641468703,-1.479271015,#VALUE!,-0.823217681,-1.872498781,-2.352252632,-1.590788309,-0.372187744,#VALUE!,-2.082163468
,#VALUE!,#VALUE!,#VALUE!,-0.790958446,-1.736821332,-0.819495647,-0.472148958,-0.669625175,-0.823753833,-1.296261394,#VALUE!,-1.355497628
bel,-1.460806441,-2.108798595,-0.410102315,-1.072998636,#VALUE!,-0.80233587,-1.29056819,-1.952042893,-1.006651708,-0.744753083,-1.077375877,-0.21291864
,-0.487945084,-0.545676686,-0.454229274,#VALUE!,#VALUE!,-0.79841632,-0.727737875,-0.400339428,0.09071796,#VALUE!,0.210388864,-0.321693676
eas,-1.118257082,-0.993091631,-1.114847378,-0.456365545,#VALUE!,-0.7884395,-0.950982682,-0.908252782,-1.271147811,-0.847985365,-1.006274923,-0.645389868
SelR,-0.399083272,#VALUE!,-0.378156764,-0.583419642,#VALUE!,-0.779595745,-0.618428671,#VALUE!,-0.477361664,-0.56800271,#VALUE!,-0.684271483
JhI-26,#VALUE!,#VALUE!,-0.881906111,#VALUE!,-1.01689147,-0.761408773,#VALUE!,#VALUE!,-0.172896404,0.28912622,#VALUE!,-0.593659258
EG:100G10.7,-0.034337599,-0.334152479,-0.40333196,0.425888934,#VALUE!,-0.750639615,-0.369650448,-0.152852931,-0.45059697,-0.343604313,0.136453909,-0.209428119
Gtp-bp,-1.486610322,-0.745309216,-0.605595615,-0.286884899,-0.687125755,-0.748505092,-1.368290355,-1.564136754,-0.573359522,-0.53336766,#VALUE!,-0.327511294
,-1.008072782,-0.392951446,-0.537130996,-0.191903311,#VALUE!,-0.711228033,-0.593789891,-0.964939203,-0.533451183,-0.443085067,-1.114847378,-0.391985641
CG13601,#VALUE!,#VALUE!,-0.492403229,-0.38381171,-1.105380106,-0.707312471,#VALUE!,#VALUE!,#VALUE!,-0.575529328,#VALUE!,-0.558112877
Bap55,-1.144488623,-0.591570728,-0.408703566,-0.29702337,#VALUE!,-0.696306912,-0.910583206,-1.075033617,-0.598653513,-0.107974309,-1.003235262,-0.389677904
wuho,#VALUE!,#VALUE!,-1.304326821,#VALUE!,#VALUE!,-0.690916968,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.452727866,-0.9770428
bsk,-0.738168341,0.343692069,0.929563784,-0.080179417,#VALUE!,-0.685755928,-0.861473837,-0.749668986,-0.438874303,-0.485276795,-0.318002098,-0.505533186
Rap2l,-0.099478997,#VALUE!,-0.428488218,-0.540505429,#VALUE!,-0.641783805,-0.907007819,-0.425695003,#VALUE!,#VALUE!,-0.494271637,-0.593898762
CG10306,-1.256562587,#VALUE!,-0.531990226,0.058385771,#VALUE!,-0.636548543,-1.365388146,-1.150657206,-1.585496397,-1.652175628,-0.016074278,-1.036052454
Aats-gln,-2.227151538,-0.414729757,-1.169582402,-0.967024634,#VALUE!,-0.628898412,-1.715628011,-2.424377862,-0.993608612,-0.284440442,-0.09087976,-1.429303925
Dsk,#VALUE!,#VALUE!,-0.031415221,#VALUE!,#VALUE!,-0.60191236,#VALUE!,#VALUE!,-0.22302013,#VALUE!,#VALUE!,-1.235450017
,-1.535540834,-0.183310192,#VALUE!,-0.623776307,#VALUE!,-0.598522439,-2.085404863,-1.755794882,#VALUE!,#VALUE!,0.012497163,-1.678579823
,-1.085956012,-1.105597405,#VALUE!,-0.659380765,#VALUE!,-0.586081023,-1.992747079,-1.744680559,#VALUE!,-1.134698767,-1.194856156,-1.44673781
Sodh-2,-0.581281116,#VALUE!,-0.809018587,-0.483137645,#VALUE!,-0.576109929,-0.521866884,-0.907846698,-1.080606521,-0.821737915,-0.867567928,-1.110355135
Pdcd4,-0.768543014,-1.411041963,-0.967955596,#VALUE!,#VALUE!,-0.548037234,-1.547636512,-1.543551284,-0.747075757,-0.51857705,-1.050472537,-0.840035042
anon-35F/36A,-0.248364897,-0.59847875,-0.123041104,0.1728715,-0.591527249,-0.543067719,0.884949517,#VALUE!,-0.20046503,#VALUE!,#VALUE!,-0.499544643
svr,#VALUE!,-0.128629444,-0.112271986,#VALUE!,#VALUE!,-0.539309851,#VALUE!,0.030124161,#VALUE!,-0.458504985,-0.445637086,-0.552346753
CG16912,-0.157254431,#VALUE!,-0.706511798,-0.310808207,-0.47282955,-0.538639084,#VALUE!,-0.816113366,#VALUE!,#VALUE!,#VALUE!,-0.321585495
Mtl,#VALUE!,-0.623687387,#VALUE!,-0.076980164,#VALUE!,-0.528677253,-0.489909023,-0.653854367,-0.447681956,-0.2376767,#VALUE!,-0.117881307
,-0.505062195,-0.174132982,-0.120404008,-0.059780618,#VALUE!,-0.509203985,-0.365313807,-0.434285854,0.130271955,0.111164889,-0.429012548,-0.334552651
Idgf1,#VALUE!,0.175173266,0.112900262,0.520447393,#VALUE!,-0.506660091,-0.019579795,-0.064057549,-0.082927292,-0.117114403,-1.135110636,0.16117825
twf,-1.331554059,-1.320125852,-0.645615547,-0.695582415,#VALUE!,-0.496366316,-0.672749534,-0.990968205,-0.495410114,-0.958112225,-0.780165476,-0.089405475
CkIIbeta,#VALUE!,-0.460568189,-0.265656722,0.192446694,#VALUE!,-0.481485003,-0.495491468,-0.615463849,-0.214307174,-0.268417031,-0.501258955,0.202260984
,-0.082636991,-0.505164571,0.943883829,#VALUE!,-0.658993455,-0.479653188,-0.795834237,1.692203992,-0.624888262,-0.164011269,#VALUE!,0.715454127
RanBP3,-1.280019299,-1.139426475,-0.636010366,-0.928319694,#VALUE!,-0.478527073,-1.73082319,-1.100298443,#VALUE!,-0.252913417,-0.497282423,-0.642639429
CadN,-0.474331993,0.061707085,0.107286135,-0.105690543,#VALUE!,-0.457672603,-0.691685728,-0.873952245,-0.033111841,0.007769594,-0.062504943,-0.368662856
,#VALUE!,#VALUE!,-1.747390574,-1.550465037,-0.696868063,-0.421032313,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.680335826
,-0.734851192,-1.263819445,-1.147809349,-1.056731268,#VALUE!,-0.377107122,-0.723062702,-1.048650934,-1.006680695,-0.515707164,-0.692338331,-0.419796616
Ucp4A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.521825456,-0.360749311,#VALUE!,#VALUE!,-0.412980721,-0.319945752,#VALUE!,-0.281123315
Rpd3,-1.21036255,-0.802738478,-0.484247185,-0.140078145,#VALUE!,-0.353523948,-1.494759446,-0.955032414,0.109962253,#VALUE!,#VALUE!,-0.332280418
UbcD4,-0.743472373,-1.168479424,-0.985958992,-0.727642312,#VALUE!,-0.347674132,-1.497526816,-1.428798909,-0.673255581,-0.623620701,-0.919342337,-0.61519864
CSN5,-1.590788309,-1.509922832,-1.052685444,-0.658355759,#VALUE!,-0.32573823,-0.998673331,-0.709386867,-0.746567352,-1.342853934,-0.661478601,-0.44124257
,0.55885537,#VALUE!,-0.772554639,-0.734947234,#VALUE!,-0.321855962,1.055750964,0.64745267,-0.691965379,-0.5107037,-0.542437226,-0.436763756
Rab8,-0.18211483,0.061707085,-0.035460894,0.022048165,#VALUE!,-0.270138386,0.167229454,-0.197500695,-0.232294359,-0.077680346,-0.179792439,0.119953718
Gs1l,#VALUE!,0.89437155,-0.090895125,0.19105724,#VALUE!,-0.258787598,0.961919615,0.919759576,0.087327052,0.121015401,0.083928155,-0.078441799
RpL23,-1.714727999,-1.701388602,-0.350025923,-0.827256483,#VALUE!,-0.252071288,-1.514408303,-1.395017788,-0.142337428,-0.877473049,-0.030221407,-0.002657004
Irc,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-1.55592667,-0.194806617,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.515604037
