Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2
CG7441-RA,-0.976049199,-0.906737317,#VALUE!,#VALUE!,-0.922018749,#VALUE!,#VALUE!,-0.486145468,-1.067424752,-0.984445341
Hml,-1.662414489,-1.085251803,-1.396574237,#VALUE!,-2.415268349,-2.709339688,#VALUE!,-1.787119434,#VALUE!,-0.978463419
U2af50,-1.275856179,-1.171108497,-0.407172245,-0.774552303,#VALUE!,-1.048770313,-0.815884776,-0.697850602,#VALUE!,-0.975027922
amon,-0.645096539,-0.35882394,-1.305966734,-0.834750486,-0.411310546,#VALUE!,#VALUE!,#VALUE!,-0.149248574,-0.969000117
Sec61alpha,-1.578757847,#VALUE!,#VALUE!,#VALUE!,-1.565673352,#VALUE!,#VALUE!,-1.16501378,#VALUE!,-0.949449546
Mulk,-1.849596299,-1.378231768,-0.722277044,-1.288839926,-1.546540367,-0.820234192,-0.959851021,-0.897650931,#VALUE!,-0.942889429
CHORD,-1.641423694,-1.536335696,-0.184982084,#VALUE!,#VALUE!,#VALUE!,-0.446305282,#VALUE!,#VALUE!,-0.893892932
,-0.821916427,-1.128282494,#VALUE!,-1.004103083,#VALUE!,#VALUE!,#VALUE!,-0.80778058,#VALUE!,-0.892258575
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-0.890144696
,-1.179776098,#VALUE!,-0.701107119,-1.054512152,-0.973214102,-0.959093546,-0.607155059,-0.548142706,#VALUE!,-0.880524295
torp4a,-0.902065645,-0.725446101,#VALUE!,-0.144632151,-1.706464713,-1.314876152,#VALUE!,#VALUE!,#VALUE!,-0.87313284
rogdi,#VALUE!,#VALUE!,-0.712031328,#VALUE!,-0.735908006,#VALUE!,-0.634262677,-0.638546036,#VALUE!,-0.872842195
CG12321-RA,-1.509881745,-0.758330632,-0.15767279,#VALUE!,-1.043199882,-1.357122867,-0.503302461,-1.078746493,#VALUE!,-0.868173488
Drs;Drsl5,#VALUE!,#VALUE!,-0.439715473,#VALUE!,1.753775664,#VALUE!,-1.044925309,-1.292651913,#VALUE!,-0.865069389
Psi,-1.325792475,-1.883954695,-0.626067871,#VALUE!,-1.626736002,-1.47818539,-0.896925411,-1.165984617,#VALUE!,-0.828357611
Myo31DF,-0.988160903,-2.074851263,-1.173579645,-1.915119346,-2.744197163,-1.742072144,-1.641468703,-1.479271015,#VALUE!,-0.823217681
,0.027437183,-1.024384487,-0.542836506,-0.638860501,#VALUE!,#VALUE!,#VALUE!,-0.790958446,-1.736821332,-0.819495647
bel,-2.112100457,-1.696049791,-1.012722798,-0.852797518,-1.460806441,-2.108798595,-0.410102315,-1.072998636,#VALUE!,-0.80233587
