Gene names,Alpha A30P_day_1,Alpha A30P_day_10,Alpha A53T_day_1,Alpha A53T_day_10,Alpha A53T_day_30,Alpha_day_1,Alpha _day_10, Alpha _day_30
CG11097,#DIV/0!,#DIV/0!,0.46314,#DIV/0!,#DIV/0!,0.29533,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hip1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
HDAC6,0.43396,0.20883,0.24496,0.219375,#DIV/0!,0.313575,0.35307,0.250185
Nelf-A,#DIV/0!,#DIV/0!,0.34156,#DIV/0!,#DIV/0!,0.91919,#DIV/0!,#DIV/0!
Vmat,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG6166,0.65191,0.62859,1.1028,0.698855,#DIV/0!,0.52936,0.54917,0.696555
grass,#DIV/0!,#DIV/0!,0.49218,#DIV/0!,#DIV/0!,2.6963,#DIV/0!,#DIV/0!
,0.3013,#DIV/0!,0.33486,#DIV/0!,#DIV/0!,0.36043,#DIV/0!,#DIV/0!
,0.394515,0.96746,0.22353,#DIV/0!,#DIV/0!,0.82111,#DIV/0!,0.400145
vsg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
gammaCop,0.124803,0.37434,0.21369,0.386685,#DIV/0!,0.26691,0.37209,0.3296
gammaCop,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
qtc,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpS21,0.19311,0.7264,0.258795,0.47844,#DIV/0!,0.35132,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,2.457,#DIV/0!,#DIV/0!,2.3677,0.84724
Acph-1,#DIV/0!,#DIV/0!,0.82091,#DIV/0!,#DIV/0!,0.772675,#DIV/0!,2.332
hoe1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.25391,#DIV/0!,#DIV/0!,0.352,0.26924,#DIV/0!,0.23697,#DIV/0!
Tm1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
unc-13,0.62147,#DIV/0!,2.9179,#DIV/0!,#DIV/0!,#DIV/0!,2.3359,0.8226
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.26255,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.44554,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Asator,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CstF-50,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.5468,0.506185,#DIV/0!,0.24931,#DIV/0!,2.2973,0.64373,0.46512
Sap-r,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG2246-RB;CG2246-RA,#DIV/0!,0.56594,0.5374,#DIV/0!,#DIV/0!,0.19911,0.2914,#DIV/0!
CG7829-RB,4.7402,1.572,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
alph,0.383845,0.68479,0.58244,0.43009,#DIV/0!,0.46547,#DIV/0!,0.32586
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG5508-RC;BcDNA.GH07066,#DIV/0!,0.35773,#DIV/0!,0.23419,#DIV/0!,#DIV/0!,0.282995,#DIV/0!
CG31064-RB,0.45818,#DIV/0!,0.36222,#DIV/0!,0.46799,#DIV/0!,#DIV/0!,#DIV/0!
CG5484-RB;CG5484-RA,#DIV/0!,1.6317,0.56704,#DIV/0!,#DIV/0!,0.872125,#DIV/0!,#DIV/0!
scrib,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
msi,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.74678,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.0648
,#DIV/0!,#DIV/0!,5.2483,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Miro,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dph5,#DIV/0!,#DIV/0!,#DIV/0!,0.58532,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
lqfR,#DIV/0!,#DIV/0!,0.82946,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GABA-B-R2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0688
CG31205-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
att-ORFA,#DIV/0!,#DIV/0!,#DIV/0!,1.7151,1.0297,#DIV/0!,2.4991,#DIV/0!
Akt1,#DIV/0!,#DIV/0!,1.6851,#DIV/0!,#DIV/0!,0.20968,0.24589,#DIV/0!
CR31292;CG3303-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trax,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Art3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG31321-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG12213-RB,0.53512,0.82192,1.253465,#DIV/0!,#DIV/0!,0.60295,#DIV/0!,0.80461
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SelR,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
stck,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Fas3,0.71964,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tpr2,0.448975,#DIV/0!,#DIV/0!,0.40276,#DIV/0!,0.20625,#DIV/0!,#DIV/0!
BG:DS07473.1,0.733045,0.64601,#DIV/0!,#DIV/0!,#DIV/0!,0.57499,#DIV/0!,#DIV/0!
mRpS23,0.55939,1.05525,0.474585,1.15445,#DIV/0!,0.49538,1.32895,1.7458
Sec71,#DIV/0!,#DIV/0!,1.4712,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5542,#DIV/0!,#DIV/0!
dUTPase,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CYLD,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Akap200,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG8372-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.219395,#DIV/0!,0.35533,#DIV/0!,#DIV/0!,0.399835,#DIV/0!,3.5901
Bsg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ndae1,0.44071,0.52771,#DIV/0!,0.94409,#DIV/0!,0.36367,0.467085,0.445975
,0.38574,#DIV/0!,0.56464,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG11321-RC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mmy,0.53896,#DIV/0!,0.16464,#DIV/0!,#DIV/0!,0.385185,#DIV/0!,#DIV/0!
stai,0.719275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.01359,#DIV/0!,#DIV/0!
CG31915,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG31522-RA;CG9798,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4344
CRMP,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.85402,1.0692,0.65986,1.2142,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rrp40,0.55139,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.3038,0.99245,1.1529,0.91573,#DIV/0!,0.974655,0.83019,0.55682
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG32368-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BI-1;CG7188,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG32032-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
scramb1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mob2,0.35684,#DIV/0!,0.304975,0.35882,0.23343,0.26084,#DIV/0!,#DIV/0!
Sap130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG7656-RA,#DIV/0!,#DIV/0!,0.93182,#DIV/0!,#DIV/0!,1.0495,#DIV/0!,#DIV/0!
l(3)72Dp,#DIV/0!,#DIV/0!,#DIV/0!,1.015,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ClC-c,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mbs,0.487805,#DIV/0!,0.26302,#DIV/0!,#DIV/0!,0.56131,0.92531,0.67924
Pdh,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.1678,#DIV/0!,#DIV/0!,1.0317
,#DIV/0!,#DIV/0!,1.5045,#DIV/0!,#DIV/0!,#DIV/0!,2.3447,0.29685
verm,0.33461,0.48617,0.288065,#DIV/0!,#DIV/0!,0.13935,#DIV/0!,#DIV/0!
Nup205,#DIV/0!,0.21334,#DIV/0!,#DIV/0!,#DIV/0!,0.25803,0.45637,#DIV/0!
CoVIb,2.5651,1.2838,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
vap,0.904185,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.45037,#DIV/0!,#DIV/0!
CG32581-RA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
bif,0.5867,#DIV/0!,7.7504,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
YT521-B,#DIV/0!,#DIV/0!,0.95099,#DIV/0!,#DIV/0!,0.64875,#DIV/0!,#DIV/0!
,0.29584,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.253425,#DIV/0!,0.309935
gry,#DIV/0!,#DIV/0!,0.64186,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
dre4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.2526,#DIV/0!,#DIV/0!
CG2199,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Glut1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG16940-RC,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG10962-RB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Sirt4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Obp57b,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.412995,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG30010,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.98717,#DIV/0!
Coq9,0.78673,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
HSPC300,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.48877,#DIV/0!,0.51782,0.89443,#DIV/0!,0.978085,#DIV/0!,0.98039
Spn42Da,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG30427-RC,0.188345,0.47808,0.25273,0.56278,#DIV/0!,0.190805,0.71744,0.43639
Reps,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
viaf,0.387845,#DIV/0!,0.332145,#DIV/0!,#DIV/0!,0.419655,0.85314,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.366885,0.70701,#DIV/0!
l(2)08717,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
KrT95D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpL35,0.81921,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.65002,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.48625
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG13638,#DIV/0!,#DIV/0!,0.31638,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
lva,0.47734,0.582575,0.3958,0.4696,#DIV/0!,0.26368,#DIV/0!,0.959945
Yippee,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ns1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.87365,#DIV/0!,#DIV/0!,0.50614,#DIV/0!,#DIV/0!
GalNAc-T2,0.542305,#DIV/0!,0.41571,#DIV/0!,#DIV/0!,0.25337,#DIV/0!,#DIV/0!
Obp83g,0.398485,2.3022,0.41692,1.8543,#DIV/0!,0.35367,#DIV/0!,#DIV/0!
Atx2,0.396005,0.60699,0.3674,0.659175,#DIV/0!,0.4135,0.58827,0.754975
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
EG:171D11.2,0.60051,0.64913,#DIV/0!,0.66011,0.44221,0.773505,#DIV/0!,#DIV/0!
,#DIV/0!,1.9829,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.39,0.78228
Art8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pis,1.0341,2.2389,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.4127,1.136195
kuk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.48584,#DIV/0!,#DIV/0!,0.52921,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TBPH,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.41276,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
GV1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Ance-3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
gw,0.318795,0.47901,#DIV/0!,0.77965,#DIV/0!,0.39179,#DIV/0!,#DIV/0!
CG43154,0.31968,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,1.071075,0.90145,1.1067,0.451605,#DIV/0!,1.2625,0.44333,1.2275
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.55065,#DIV/0!,0.755825,#DIV/0!,#DIV/0!,0.323355,#DIV/0!,0.43181
CG17159,1.1717,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9252,0.68591
,0.47747,#DIV/0!,0.34451,0.48135,#DIV/0!,0.45548,#DIV/0!,#DIV/0!
l(2)09851,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mRpS5,0.335255,0.455995,0.274115,0.44001,#DIV/0!,0.28648,#DIV/0!,#DIV/0!
,#DIV/0!,1.14219,#DIV/0!,1.3784,#DIV/0!,0.75298,#DIV/0!,1.1811
CG17683,0.25413,#DIV/0!,#DIV/0!,0.4469,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.82172,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.0024
,0.41566,0.54066,0.43416,#DIV/0!,#DIV/0!,0.419425,#DIV/0!,0.61562
Spn43Ad,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG7117,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Golgin84,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dim1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
NT5E-2,0.414205,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
rumi,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.32572,#DIV/0!,1.3176
CG14722,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tsp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,0.85235,0.32926,0.58884,1.0655,0.28295,0.878655,1.23175,#DIV/0!
CenB1A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Idgf5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.528,#DIV/0!,0.60379
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
hpo,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BEST:CK00246,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
obst-E,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
beg,0.76279,0.974145,0.81431,#DIV/0!,#DIV/0!,#DIV/0!,0.56372,#DIV/0!
mRpL47,0.523125,1.48855,0.552005,1.7644,#DIV/0!,0.59914,#DIV/0!,2.242
scpr-B;scpr-C;scpr-A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ena,#DIV/0!,0.38059,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BEST:CK02213,0.83304,#DIV/0!,0.73345,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
boca,0.777335,1.2111,0.814925,1.0456,#DIV/0!,0.73996,1.38135,1.0428
fdl,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
bonsai,0.2801,0.66932,0.446635,#DIV/0!,#DIV/0!,0.72385,0.72096,#DIV/0!
BEAF-32,0.48104,#DIV/0!,0.4446,0.5214,#DIV/0!,0.61482,0.53808,0.54699
mtacp1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rel,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
S6k,0.63675,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
U2af38,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Rga,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Dref,0.606915,0.88854,1.5379,0.930935,#DIV/0!,0.602795,0.768275,#DIV/0!
Nrx-IV,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
jeb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
mats,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
CG11412,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Tom20,#DIV/0!,#DIV/0!,0.82133,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Git,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,0.76538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
